neuron_id,spike_time
0,6353.349999999993 ms
0,6371.249999999993 ms
0,6377.349999999993 ms
0,6378.999999999993 ms
0,6392.449999999993 ms
0,6398.249999999993 ms
0,6406.299999999992 ms
0,6408.099999999993 ms
0,6413.899999999992 ms
0,6422.7499999999945 ms
0,6426.199999999993 ms
0,6443.449999999993 ms
0,6448.549999999994 ms
0,6451.049999999994 ms
0,6454.949999999993 ms
0,6464.199999999993 ms
0,6477.899999999994 ms
0,6479.949999999993 ms
0,6483.799999999994 ms
0,6485.799999999994 ms
0,6497.649999999994 ms
0,6506.649999999994 ms
0,6507.399999999994 ms
0,6507.949999999993 ms
0,6508.799999999996 ms
0,6517.699999999993 ms
0,6523.849999999995 ms
0,6530.449999999993 ms
0,6542.799999999996 ms
0,6560.449999999993 ms
0,6568.149999999994 ms
0,6571.4999999999945 ms
0,6575.849999999995 ms
0,6594.049999999996 ms
0,6595.949999999993 ms
0,6596.899999999994 ms
0,6601.599999999995 ms
0,6606.499999999993 ms
0,6607.549999999994 ms
0,6608.2499999999945 ms
0,6610.599999999993 ms
0,6613.649999999994 ms
0,6652.849999999995 ms
0,6660.549999999994 ms
0,6669.799999999994 ms
0,6672.449999999993 ms
0,6686.699999999993 ms
0,6697.599999999993 ms
0,6718.899999999992 ms
0,6720.349999999993 ms
0,6734.049999999994 ms
0,6739.999999999993 ms
0,6743.349999999993 ms
0,6756.599999999993 ms
0,6757.399999999992 ms
0,6780.7499999999945 ms
0,6786.7499999999945 ms
0,6786.849999999993 ms
0,6791.549999999994 ms
0,6800.9999999999945 ms
0,6815.849999999993 ms
0,6816.7499999999945 ms
0,6853.299999999994 ms
0,6857.7499999999945 ms
0,6858.649999999992 ms
0,6867.849999999993 ms
0,6872.649999999992 ms
0,6874.7499999999945 ms
0,6875.9999999999945 ms
0,6878.599999999993 ms
0,6883.649999999994 ms
0,6888.849999999995 ms
0,6896.299999999994 ms
0,6910.049999999994 ms
0,6913.2499999999945 ms
0,6929.299999999994 ms
0,6932.899999999994 ms
0,6938.7499999999945 ms
0,6947.2499999999945 ms
0,6950.649999999994 ms
0,6951.799999999994 ms
0,6953.849999999993 ms
0,6959.149999999994 ms
0,6960.899999999994 ms
0,6991.849999999995 ms
0,6999.399999999994 ms
0,7003.699999999993 ms
0,7019.699999999993 ms
0,7023.699999999993 ms
0,7036.2499999999945 ms
0,7040.199999999995 ms
0,7057.649999999994 ms
0,7058.799999999994 ms
0,7061.399999999994 ms
0,7065.849999999995 ms
0,7067.949999999993 ms
0,7072.299999999996 ms
0,7079.2499999999945 ms
0,7093.7499999999945 ms
0,7096.2499999999945 ms
0,7105.199999999995 ms
0,7106.049999999994 ms
0,7107.199999999995 ms
0,7109.699999999995 ms
0,7112.7499999999945 ms
0,7114.899999999994 ms
0,7121.299999999994 ms
0,7121.9999999999945 ms
0,7131.599999999993 ms
0,7142.049999999994 ms
0,7144.849999999993 ms
0,7149.799999999994 ms
0,7158.9999999999945 ms
0,7165.2499999999945 ms
0,7175.2499999999945 ms
0,7181.549999999994 ms
0,7196.899999999994 ms
0,7219.299999999994 ms
0,7221.649999999994 ms
0,7223.049999999994 ms
0,7240.9999999999945 ms
0,7241.699999999993 ms
0,7243.049999999994 ms
0,7273.399999999994 ms
0,7274.599999999995 ms
0,7304.899999999994 ms
0,7319.4999999999945 ms
0,7324.899999999994 ms
0,7327.149999999994 ms
0,7328.699999999993 ms
0,7333.549999999996 ms
0,7339.4999999999945 ms
0,7340.049999999994 ms
0,7348.449999999995 ms
0,7352.299999999994 ms
0,7363.7499999999945 ms
0,7379.949999999995 ms
0,7380.449999999995 ms
0,7389.199999999995 ms
0,7389.449999999995 ms
0,7394.9999999999945 ms
0,7401.449999999995 ms
0,7403.599999999993 ms
0,7408.599999999993 ms
0,7419.449999999995 ms
0,7423.2499999999945 ms
0,7424.799999999994 ms
0,7427.449999999995 ms
