time,force,rate
7171.3,284.9208563966078,1718.3474424924545
7171.35,284.9188380769907,1718.3528621815005
7171.400000000001,284.9168302194699,1718.3582818409502
7171.450000000001,284.914833559067,1718.363701415433
7171.5,284.91284868092407,1718.3691208598646
7171.55,284.9108759887543,1718.3745401417202
7171.6,284.90891572791844,1718.3799592394737
7171.650000000001,284.90696802025303,1718.3853781402033
7171.700000000001,284.90503310194504,1718.390796822899
7171.75,284.9031112424082,1718.396215264132
7171.8,284.90120266132095,1718.4016334438763
7171.85,284.8993075449445,1718.4070513443821
7171.900000000001,284.8974260157351,1718.4124689523212
7171.950000000001,284.89555861585,1718.4178862247977
7172.0,284.89370606737583,1718.4233031060671
7172.05,284.891869075334,1718.4287195413337
7172.1,284.89004820718685,1718.4341354852315
7172.150000000001,284.8882438617098,1718.4395509040635
7172.200000000001,284.88645628628973,1718.4449657746425
7172.25,284.8846856072874,1718.4503800822101
7172.3,284.88293193604386,1718.4557938130195
7172.35,284.8811953509629,1718.4612069556026
7172.400000000001,284.87947587521916,1718.4666195023483
7172.450000000001,284.8777734683345,1718.4720314501164
7172.5,284.87608857254423,1718.4774427618213
7172.55,284.8744218487534,1718.4828533848395
7172.6,284.87277399729345,1718.4882632635426
7172.650000000001,284.8711456072637,1718.4936723498822
7172.700000000001,284.86953710493856,1718.4990806070582
7172.75,284.86794876084554,1718.5044880090784
7172.8,284.8663807174421,1718.5098945388654
7172.85,284.8648330173457,1718.5153001863162
7172.900000000001,284.86330562555656,1718.5207049467724
7172.950000000001,284.86179844543386,1718.5261088199247
7173.0,284.860311330002,1718.5315118090396
7173.05,284.85884409011464,1718.5369139204001
7173.1,284.85739650056615,1718.5423151628934
7173.150000000001,284.8559683048437,1718.5477155476874
7173.200000000001,284.8545592189364,1718.5531150879742
7173.25,284.85316893447305,1718.5585137987596
7173.3,284.8517971213591,1718.563911696685
7173.35,284.85044343002295,1718.569308799878
7173.400000000001,284.8491074959507,1718.5747051276396
7173.450000000001,284.8477889400947,1718.5801007004206
7173.5,284.8464873691571,1718.5854955398065
7173.55,284.8452024089015,1718.5908896661817
7173.6,284.8439336885191,1718.5962830998176
7173.650000000001,284.8426808268352,1718.601675861846
7173.700000000001,284.84144372042425,1718.6070679539928
7173.75,284.84022239530935,1718.6124593689126
7173.8,284.8390168719103,1718.6178500996452
7173.85,284.8378270992675,1718.6232401442455
7173.900000000001,284.83665294286163,1718.6286295066639
7173.950000000001,284.83549420016624,1718.6340181956825
7174.0,284.8343506148773,1718.6394062239378
7174.05,284.83322188864474,1718.644793607113
7174.1,284.832107689914,1718.6501803633323
7174.150000000001,284.8310082104884,1718.6555664740185
7174.200000000001,284.8299239361825,1718.660951899842
7174.25,284.8288553752201,1718.6663365997285
7174.3,284.82780291579706,1718.671720540867
7174.35,284.8267667910179,1718.6771037012252
7174.400000000001,284.82574742670414,1718.682486045128
7174.450000000001,284.82474531903966,1718.6878675318026
7174.5,284.8237610677349,1718.6932481130204
7174.55,284.8227952246048,1718.698627743711
7174.6,284.82184820730976,1718.704006388049
7174.650000000001,284.8209208023981,1718.709383984112
7174.700000000001,284.8200139474161,1718.714760459079
7174.75,284.81912850205686,1718.7201357452782
7174.8,284.81826513020764,1718.7255097885127
7174.85,284.81742459921816,1718.730882527072
7174.900000000001,284.8166076555077,1718.7362539004523
7174.950000000001,284.81581492014107,1718.741623856706
7175.0,284.815046849909,1718.7469923552248
7175.05,284.8143038318021,1718.752359360151
7175.1,284.8135863998872,1718.757724825145
7175.150000000001,284.81289510660383,1718.7630887023877
7175.200000000001,284.8122304463287,1718.768450947951
7175.25,284.8115927957958,1718.7738115260095
7175.3,284.8109824021349,1718.7791704097249
7175.35,284.81039939653766,1718.784527580328
7175.400000000001,284.80984381490765,1718.7898830257068
7175.450000000001,284.80931561663647,1718.7952367391201
7175.5,284.8088147201369,1718.8005887167233
7175.55,284.80834100530234,1718.80593895741
7175.6,284.80789447561517,1718.8112874514215
7175.650000000001,284.80747517780014,1718.8166341859564
7175.700000000001,284.80708312691445,1718.8219791504239
7175.75,284.8067182706546,1718.8273223389674
7175.8,284.8063805428614,1718.832663746723
7175.85,284.80606985016726,1718.8380033707638
7175.900000000001,284.80578605413285,1718.8433412113673
7175.950000000001,284.8055289774847,1718.8486772715905
7176.0,284.8052984024634,1718.854011557401
7176.05,284.80509407108434,1718.8593440776726
7176.1,284.8049156886246,1718.8646748439537
7176.150000000001,284.8047629284416,1718.8700038701415
7176.200000000001,284.8046354367087,1718.8753311721603
7176.25,284.8045331743897,1718.8806567439115
7176.3,284.8044563731902,1718.885980560265
7176.35,284.804405332556,1718.8913025912427
7176.400000000001,284.80438028049906,1718.8966228117886
7176.450000000001,284.8043813242312,1718.901941205264
7176.5,284.80440845381196,1718.9072577632348
7176.55,284.8044615639922,1718.9125724839746
7176.6,284.8045404763912,1718.9178853709398
7176.650000000001,284.8046450376387,1718.9231964258895
7176.700000000001,284.8047750937284,1718.9285056506803
7176.75,284.80493045924,1718.933813049434
7176.8,284.8051109022508,1718.9391186296075
7176.85,284.8053161440344,1718.9444224020324
7176.900000000001,284.8055458655967,1718.94972438047
7176.950000000001,284.80579972674576,1718.955024580285
7177.0,284.8060773664207,1718.9603230184296
7177.05,284.80637840194987,1718.965619713502
7177.1,284.8067024298072,1718.9709146857017
7177.150000000001,284.80704902763534,1718.9762079566942
7177.200000000001,284.80741775665217,1718.981499549448
7177.25,284.8078081638715,1718.9867894880854
7177.3,284.80821978396153,1718.9920777977545
7177.35,284.80865214076243,1718.997364504529
7177.400000000001,284.8091047485417,1719.0026496353225
7177.450000000001,284.80957773106627,1719.0079331743398
7177.5,284.810071520892,1719.0132150840197
7177.55,284.81058656722297,1719.018495325478
7177.6,284.8111231861413,1719.0237738690391
